corridor,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate
SUTTON PL,48,5,41,1,1,43,6.5334112115949755e-06,0.8958333333333334,0.8541666666666666,0.020833333333333332,0.020833333333333332
ASTORIA BLVD NORTH,9,5,2,1,1,4,6.5334112115949755e-06,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111
79 ST TRANSVERSE RD,7,5,1,0,1,2,6.5334112115949755e-06,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
W 97 ST,23,4,10,4,5,19,5.22672896927598e-06,0.8260869565217391,0.43478260869565216,0.17391304347826086,0.21739130434782608
W 239 ST,12,4,3,3,2,8,5.22672896927598e-06,0.6666666666666666,0.25,0.25,0.16666666666666666
SMITH ST,5,4,1,0,0,1,5.22672896927598e-06,0.2,0.2,0.0,0.0
LAGUARDIA RD,9,4,4,1,0,5,5.22672896927598e-06,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.0
WHITE PLAINS RD,11,4,2,3,2,7,5.22672896927598e-06,0.6363636363636364,0.18181818181818182,0.2727272727272727,0.18181818181818182
MALCOLM X BLVD,860,4,579,48,229,856,5.22672896927598e-06,0.9953488372093023,0.6732558139534883,0.05581395348837209,0.26627906976744187
E 167 ST,6,4,2,0,0,2,5.22672896927598e-06,0.3333333333333333,0.3333333333333333,0.0,0.0
W 230 ST,7,4,1,0,2,3,5.22672896927598e-06,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857
E 161 ST,7,3,4,0,0,4,3.9200467269569855e-06,0.5714285714285714,0.5714285714285714,0.0,0.0
HENRY HUDSON PKWY WEST,13,3,3,3,4,10,3.9200467269569855e-06,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.3076923076923077
BEDFORD AV,3,3,0,0,0,0,3.9200467269569855e-06,0.0,0.0,0.0,0.0
ASTORIA BL,3,3,0,0,0,0,3.9200467269569855e-06,0.0,0.0,0.0,0.0
FRANKLIN AV,8,3,4,1,0,5,3.9200467269569855e-06,0.625,0.5,0.125,0.0
E HOUSTON ST,5,2,2,0,1,3,2.61336448463799e-06,0.6,0.4,0.0,0.2
DRIGGS AV,2,2,0,0,0,0,2.61336448463799e-06,0.0,0.0,0.0,0.0
109 AV,8,2,2,4,0,6,2.61336448463799e-06,0.75,0.25,0.5,0.0
OLD FULTON ST,2,2,0,0,0,0,2.61336448463799e-06,0.0,0.0,0.0,0.0
LAGUARDIA AIRPORT,5,2,2,1,0,3,2.61336448463799e-06,0.6,0.4,0.2,0.0
KAPPOCK ST,3,2,0,1,0,1,2.61336448463799e-06,0.3333333333333333,0.0,0.3333333333333333,0.0
COLUMBIA ST,5,2,1,1,1,3,2.61336448463799e-06,0.6,0.2,0.2,0.2
GRAND CONCOURSE,9,2,4,0,3,7,2.61336448463799e-06,0.7777777777777778,0.4444444444444444,0.0,0.3333333333333333
W 225 ST,4,2,1,0,1,2,2.61336448463799e-06,0.5,0.25,0.0,0.25
WILLIAMSBURG BRIDGE PLAZA,2,2,0,0,0,0,2.61336448463799e-06,0.0,0.0,0.0,0.0
TILLARY ST,6,2,2,0,2,4,2.61336448463799e-06,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
E 169 ST,2,2,0,0,0,0,2.61336448463799e-06,0.0,0.0,0.0,0.0
7 AV,160,2,122,8,28,158,2.61336448463799e-06,0.9875,0.7625,0.05,0.175
WEST FORDHAM RD,1,1,0,0,0,0,1.306682242318995e-06,0.0,0.0,0.0,0.0
WEST FARMS RD,2,1,0,1,0,1,1.306682242318995e-06,0.5,0.0,0.5,0.0
YORK ST,1,1,0,0,0,0,1.306682242318995e-06,0.0,0.0,0.0,0.0
EAST FORDHAM RD,3,1,0,1,1,2,1.306682242318995e-06,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
BAY PLAZA BLVD,3,1,2,0,0,2,1.306682242318995e-06,0.6666666666666666,0.6666666666666666,0.0,0.0
94 ST,4,1,2,0,1,3,1.306682242318995e-06,0.75,0.5,0.0,0.25
MALL,1,1,0,0,0,0,1.306682242318995e-06,0.0,0.0,0.0,0.0
IRWIN AV,2,1,0,0,1,1,1.306682242318995e-06,0.5,0.0,0.0,0.5
GOLD ST,4,1,1,0,2,3,1.306682242318995e-06,0.75,0.25,0.0,0.5
E 149 ST,3,1,0,2,0,2,1.306682242318995e-06,0.6666666666666666,0.0,0.6666666666666666,0.0
E 168 ST,2,1,1,0,0,1,1.306682242318995e-06,0.5,0.5,0.0,0.0
E 79 ST TRANSVERSE RD,1,1,0,0,0,0,1.306682242318995e-06,0.0,0.0,0.0,0.0
W 54 ST,18,0,9,6,3,18,0.0,1.0,0.5,0.3333333333333333,0.16666666666666666
CENTRAL PARK SOUTH,110,0,85,2,23,110,0.0,1.0,0.7727272727272727,0.01818181818181818,0.20909090909090908
COLUMBUS CIRCLE,5,0,1,0,4,5,0.0,1.0,0.2,0.0,0.8
E 148 ST,3,0,3,0,0,3,0.0,1.0,1.0,0.0,0.0
EDWARD L GRANT HWY,1,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0
EAST KINGSBRIDGE RD,1,0,1,0,0,1,0.0,1.0,1.0,0.0,0.0
W 147 ST,20,0,12,3,5,20,0.0,1.0,0.6,0.15,0.25
W FORDHAM RD,1,0,0,1,0,1,0.0,1.0,0.0,1.0,0.0
KINGSBRIDGE AV,1,0,1,0,0,1,0.0,1.0,1.0,0.0,0.0
LENOX AV,91,0,59,6,26,91,0.0,1.0,0.6483516483516484,0.06593406593406594,0.2857142857142857
6 AV,128,0,91,6,31,128,0.0,1.0,0.7109375,0.046875,0.2421875
PARKING RAMP,1,0,1,0,0,1,0.0,1.0,1.0,0.0,0.0
21 ST,2,0,2,0,0,2,0.0,1.0,1.0,0.0,0.0
HUNTS POINT AV,1,0,1,0,0,1,0.0,1.0,1.0,0.0,0.0
