stop_canonical,all_records,violations,exemptions,technical_rejections,dmv_rejections,exempt_reject_total,violation_share,exempt_reject_rate,exemption_rate,technical_reject_rate,dmv_reject_rate,longitude,latitude
3 AV / E 67 ST,4265,2223,830,905,307,2042,0.002904754624675126,0.4787807737397421,0.19460726846424384,0.21219226260257915,0.07198124267291911,-73.9618,40.768077
2 AV / E 95 ST,4831,2215,1403,662,551,2616,0.0028943011667365744,0.5415027944524943,0.29041606292693023,0.13703167046160214,0.11405506106396192,-73.949206,40.781571
ALLEN ST / HESTER ST,3970,2210,1027,343,390,1760,0.0028877677555249792,0.4433249370277078,0.25869017632241814,0.08639798488664988,0.0982367758186398,-73.9926905,40.713724
AMSTERDAM AV / W 148 ST,5265,2180,1784,352,949,3085,0.0028485672882554093,0.5859449192782527,0.3388414055080722,0.06685660018993353,0.18024691358024691,-73.946825,40.826337
7 AV / W 34 ST,5504,2170,2635,289,410,3334,0.0028355004658322195,0.6057412790697675,0.47874273255813954,0.05250726744186047,0.07449127906976744,-73.9904225,40.750884
BROADWAY / W 185 ST,5810,2157,2724,580,349,3653,0.0028185135966820726,0.6287435456110155,0.4688468158347676,0.09982788296041308,0.06006884681583477,-73.935243,40.851176
2 AV / E 96 ST,4290,2148,1488,368,286,2142,0.0028067534565012014,0.4993006993006993,0.34685314685314683,0.08578088578088579,0.06666666666666667,-73.9490315,40.7819025
1 AV / E 28 ST,4284,2102,1746,221,215,2182,0.002746646073354528,0.5093370681605975,0.40756302521008403,0.051587301587301584,0.050186741363211954,-73.974823,40.741932
CENTRAL PK WEST / W 86 ST,4238,2083,1780,213,162,2155,0.002721819110750467,0.5084945729117508,0.4200094384143464,0.05025955639452572,0.038225578102878716,-73.970665,40.785864
E 34 ST / LEXINGTON AV,3400,2071,830,268,231,1329,0.002706138923842639,0.39088235294117646,0.24411764705882352,0.07882352941176471,0.06794117647058824,-73.982493,40.742496
2 AV / E 32 ST,3153,2057,701,228,167,1096,0.002687845372450173,0.34760545512210594,0.2223279416428798,0.07231208372978117,0.05296542974944497,-73.977482,40.742666
AMSTERDAM AV / W 150 ST,3392,2021,699,427,245,1371,0.002640804811726689,0.404186320754717,0.20607311320754718,0.12588443396226415,0.07222877358490566,-73.945989,40.827479
2 AV / E 33 ST,3774,2002,553,981,238,1772,0.0026159778491226283,0.46952835188129305,0.14652888182299947,0.2599364069952305,0.06306306306306306,-73.977421,40.742753
WALL ST / WATER ST,3250,1915,831,242,262,1335,0.0025022964940408757,0.4107692307692308,0.2556923076923077,0.07446153846153847,0.08061538461538462,-74.010381,40.703306
AMSTERDAM AV / W 164 ST,3252,1910,850,286,206,1342,0.0024957630828292806,0.41266912669126693,0.2613776137761378,0.08794587945879459,0.06334563345633457,-73.938112,40.838226500000005
AMSTERDAM AV / W 183 ST,3181,1867,542,409,363,1314,0.0024395757464095637,0.41307764853819556,0.17038667085822068,0.12857591952216285,0.114115058157812,-73.928403,40.85152
SAINT NICHOLAS AV / W 167 ST,3493,1852,1016,331,294,1641,0.002419975512774779,0.46979673632980246,0.29086744918408247,0.09476095047237332,0.0841683366733467,-73.939228,40.842634
E 59 ST / LEXINGTON AV,4530,1814,1927,359,430,2716,0.002370321587566657,0.5995584988962472,0.42538631346578365,0.07924944812362031,0.09492273730684327,-73.9697625,40.7600695
3 AV / E 9 ST,3316,1806,766,484,260,1510,0.0023598681296281053,0.45536791314837155,0.2310012062726176,0.14595898673100122,0.07840772014475271,-73.9883865,40.7314135
GOUVERNEUR LN / WATER ST,3126,1771,649,519,187,1355,0.0023141342511469403,0.4334612923864363,0.2076135636596289,0.16602687140115163,0.05982085732565579,-74.0105595,40.703234
CENTRAL PARK WEST / W 81 ST,3819,1745,1693,173,208,2074,0.0022801605128466465,0.5430741031683687,0.4433097669547002,0.04529981670594396,0.05446451950772453,-73.972891,40.782531
1 AV / E 25 ST,4049,1739,2016,125,169,2310,0.0022723204193927323,0.5705112373425537,0.4979007162262287,0.03087182020251914,0.041738700913805875,-73.976929,40.739013
E 106 ST / LEXINGTON AV,3335,1734,978,380,243,1601,0.0022657870081811376,0.4800599700149925,0.29325337331334334,0.11394302848575712,0.07286356821589206,-73.948144,40.789711
2 AV / E 103 ST,5503,1722,2551,342,888,3781,0.0022501068212733098,0.6870797746683627,0.4635653280029075,0.06214791931673633,0.16136652734871887,-73.945888,40.786006
10 AV / W 211 ST,2427,1698,198,291,240,729,0.0022187464474576536,0.3003708281829419,0.0815822002472188,0.11990111248454882,0.09888751545117429,-73.918093,40.865592
E 72 ST / LEXINGTON AV,2953,1686,814,257,196,1267,0.0022030662605498257,0.4290551981036234,0.2756518794446326,0.08703013884185574,0.06637317981713511,-73.963313,40.768908
BROADWAY / W 120 ST,4283,1685,1895,299,404,2598,0.0022017595783075067,0.6065841699743171,0.4424468830259164,0.06981088022414196,0.0943264067242587,-73.96178190792176,40.809725
<MISSING STOP>,6039,1680,2828,613,918,4359,0.002195226167095912,0.7218082463984103,0.4682894518960093,0.10150687199867528,0.15201192250372578,-73.948696,40.802997
1 AV / E 15 ST,4485,1666,1948,408,463,2819,0.002176932615703446,0.6285395763656634,0.4343366778149387,0.09096989966555184,0.1032329988851728,-73.978818,40.736437
3 AV / E 17 ST,4366,1654,1851,568,293,2712,0.0021612524287956177,0.6211635364177737,0.423957856161246,0.13009619789280807,0.06710948236371965,-73.9844,40.737058
PINE ST / WATER ST,3654,1631,1340,372,311,2023,0.002131198737222281,0.553639846743295,0.3667214012041598,0.10180623973727422,0.08511220580186098,-74.0064255,40.705875
BROADWAY / W 184 ST,3418,1624,873,314,607,1794,0.0021220519615260483,0.5248683440608543,0.2554125219426565,0.09186658864833236,0.1775892334698654,-73.934574,40.8524145
ALLEN ST / E HOUSTON ST,3260,1606,677,755,222,1654,0.0020985316811643062,0.507361963190184,0.2076687116564417,0.23159509202453987,0.06809815950920245,-73.9902515,40.719771
E 114 ST / LEXINGTON AV,3270,1574,1041,381,274,1696,0.0020567178494100983,0.5186544342507645,0.318348623853211,0.11651376146788991,0.0837920489296636,-73.942895,40.796532
8 AV / W 42 ST,3070,1564,925,437,144,1506,0.0020436510269869084,0.4905537459283388,0.30130293159609123,0.14234527687296417,0.046905537459283386,-73.99078979970992,40.75774077707555
AMSTERDAM AV / LA SALLE ST,2930,1549,944,254,183,1381,0.0020240507933521235,0.4713310580204778,0.3221843003412969,0.08668941979522184,0.062457337883959047,-73.955059,40.811953
AMSTERDAM AV / W 175 ST,15688,1545,13498,395,250,14143,0.0020188240643828474,0.9015170831208567,0.8604028556858746,0.02517848036715961,0.01593574706782254,-73.934823,40.842765
E 91 ST / YORK AV,4224,1531,2205,232,256,2693,0.0020005305129903814,0.6375473484848485,0.5220170454545454,0.054924242424242424,0.06060606060606061,-73.945971,40.777605
5 AV / E 96 ST,2752,1515,369,660,208,1237,0.0019796235971132775,0.44949127906976744,0.13408430232558138,0.23982558139534885,0.0755813953488372,-73.95753865931857,40.7856444164495
E 68 ST / LEXINGTON AV,2936,1502,986,267,181,1434,0.0019626367279631306,0.4884196185286104,0.3358310626702997,0.0909400544959128,0.06164850136239782,-73.96588750000001,40.7653875
DELANCEY ST / ESSEX ST,2739,1501,647,291,300,1238,0.0019613300457208115,0.4519897772909821,0.2362175976633808,0.10624315443592552,0.10952902519167579,-73.987861,40.719982
MORNINGSIDE AV / W 125 ST,2545,1490,569,304,182,1055,0.0019469565410553027,0.41453831041257366,0.22357563850687623,0.11944990176817288,0.07151277013752456,-73.953204,40.810984
5 AV / E 125 ST,2253,1426,316,308,203,827,0.001863328877546887,0.3670661340434976,0.14025743453173548,0.13670661340434975,0.09010208610741234,-73.941484,40.805966
RIVERSIDE DR / W 79 ST,2784,1382,1041,164,197,1402,0.0018058348588848513,0.5035919540229885,0.3739224137931034,0.05890804597701149,0.07076149425287356,-73.979935,40.787668499999995
2 AV / E 28 ST,2878,1363,901,363,251,1515,0.0017810078962807903,0.5264072272411396,0.3130646282140375,0.12612925642807504,0.0872133425990271,-73.9797195,40.739502
